plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'GPT_4_1')",0.36090405117270785,0.5,0.7
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'GPT_4o')",0.3556625421822272,0.75,0.7
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'GPT_4o_MINI')",0.35689356777389747,0.6,0.7
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.45288644688644686,0.6666666666666666,0.6
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'GPT_5_NANO')",0.49845717972963594,1.0,0.7
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'o4_MINI')",0.35297598213045556,0.6,0.7
"('GPT_4_1_NANO', 'GPT_4_1_NANO', 'GPT_4_1_MINI')",0.45566254218222724,0.6666666666666666,0.7
"('GPT_4_1_NANO', 'GPT_4_1_NANO', 'GPT_4o')",0.44544099378881985,0.6666666666666666,0.6
"('GPT_4_1_NANO', 'GPT_4_1_NANO', 'GPT_4o_MINI')",0.5061909854851031,0.3333333333333333,0.6
"('GPT_4_1_NANO', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.3479832413767218,0.6,0.6
"('GPT_4_1_NANO', 'GPT_4_1_NANO', 'o4_MINI')",0.45263330300272975,0.6666666666666666,0.6
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_4_1_MINI')",0.4619915987529145,0.75,0.7
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_4_1_NANO')",0.5567817363624175,0.3333333333333333,0.6
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_4o')",0.44766024728836606,0.3333333333333333,0.6
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_5')",0.3532443286861965,0.2,0.6
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_5_MINI')",0.562596500512489,0.3333333333333333,0.7
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_5_NANO')",0.3537374131219171,0.4,0.7
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'GPT_4_1')",0.5635791247235711,0.3333333333333333,0.6
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'GPT_4_1_MINI')",0.3705633868844774,0.2,0.6
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'GPT_4_1_NANO')",0.3522490023942538,0.25,0.6
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'GPT_5')",0.35602813621349305,0.5,0.6
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'GPT_5_NANO')",0.45619489871458374,0.3333333333333333,0.6
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'o4_MINI')",0.5061909854851031,0.3333333333333333,0.6
"('GPT_4_1_NANO', 'GPT_5', 'GPT_4_1')",0.4702857142857143,0.6666666666666666,0.6
"('GPT_4_1_NANO', 'GPT_5', 'GPT_4_1_MINI')",0.3479832413767218,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5', 'GPT_4o')",0.446,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5', 'GPT_5')",0.5513229862773343,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5', 'GPT_5_MINI')",0.5609040511727079,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5', 'o4_MINI')",0.4609040511727079,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_4_1')",0.3489464758098861,0.4,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.6096591935775886,0.3333333333333333,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_4_1_NANO')",0.36090405117270785,0.5,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_5_MINI')",0.3564633878529777,0.6,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_5_NANO')",0.45566254218222724,0.3333333333333333,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'o4_MINI')",0.353485536270583,0.4,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_4_1')",0.3486038500506586,0.25,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_4_1_NANO')",0.3449408854490881,0.4,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_4o')",0.45866403451705284,0.5,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_4o_MINI')",0.41314285714285715,1.0,0.5
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_5')",0.3515856191053041,0.75,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_5_NANO')",0.3702857142857143,0.5,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO', 'o4_MINI')",0.45566254218222724,0.6666666666666666,0.6
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_4_1')",0.44183918183433973,0.5,0.6
