plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_5_NANO', 'GPT_5_MINI', 'GPT_4_1_NANO')",0.5388267165936201,0.6666666666666666,0.5
"('GPT_5', 'GPT_4o_MINI', 'GPT_5_NANO')",0.5358930948877344,0.75,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.6096591935775886,0.3333333333333333,0.6
"('o4_MINI', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.6700767165936201,1.0,0.7
"('o4_MINI', 'GPT_4o_MINI', 'GPT_5_NANO')",0.6609497597136421,1.0,0.7
"('GPT_5_NANO', 'GPT_5_NANO', 'GPT_4_1')",0.672535769076889,0.5,0.6
"('o4_MINI', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.685739416421278,1.0,0.8
"('GPT_4o', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.7214415726246814,0.6666666666666666,0.7
"('GPT_5', 'GPT_4o', 'GPT_4o')",0.567367919436123,0.4,0.6
"('GPT_4o', 'GPT_4_1', 'GPT_4_1_NANO')",0.6155789936277741,1.0,0.7
"('GPT_4o', 'GPT_4o_MINI', 'GPT_4_1')",0.6986920042055734,0.6666666666666666,0.7
"('GPT_4o_MINI', 'GPT_4o_MINI', 'GPT_4_1')",0.6319307325699252,0.6666666666666666,0.7
"('GPT_4o_MINI', 'GPT_4o', 'GPT_5_NANO')",0.7043103448275863,0.6666666666666666,0.7
"('o4_MINI', 'GPT_5_MINI', 'GPT_5_NANO')",0.6667903316170942,1.0,0.8
"('GPT_4_1', 'GPT_4_1', 'GPT_4_1_NANO')",0.2598621188994349,1.0,0.6
"('GPT_4o_MINI', 'GPT_5', 'GPT_4_1')",0.6398801453973868,1.0,0.8
"('GPT_4_1_NANO', 'GPT_5', 'o4_MINI')",0.4609040511727079,1.0,0.6
"('GPT_5', 'GPT_4_1', 'GPT_4_1_MINI')",0.5648108733049628,0.8,0.7
"('GPT_5', 'GPT_4_1', 'GPT_4o_MINI')",0.5569371210725523,1.0,0.6
"('GPT_4_1', 'GPT_5', 'GPT_4o')",0.2606148357418378,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_5_NANO')",0.4556625421822272,0.3333333333333333,0.6
"('GPT_5_MINI', 'GPT_5_MINI', 'GPT_5_NANO')",0.4820605772468849,0.6666666666666666,0.5
"('GPT_5', 'GPT_4_1_MINI', 'GPT_4_1_MINI')",0.5762173360147145,1.0,0.7
"('GPT_5_MINI', 'o4_MINI', 'GPT_4_1_NANO')",0.4149921234457522,0.3333333333333333,0.7
"('GPT_5_NANO', 'GPT_5_MINI', 'GPT_4_1')",0.6390098164746052,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_5_NANO')",0.3702857142857143,0.5,0.6
"('GPT_4_1_MINI', 'GPT_5_NANO', 'GPT_4o_MINI')",0.3596703890501958,0.5714285714285714,0.7
"('GPT_5_NANO', 'o4_MINI', 'GPT_4_1')",0.5447391196468782,0.5,0.6
"('GPT_4_1', 'GPT_5', 'GPT_5_MINI')",0.254294693364853,1.0,0.6
"('GPT_4_1_NANO', 'GPT_4_1', 'GPT_4o')",0.441101437883927,1.0,0.6
"('GPT_5_NANO', 'GPT_4o', 'GPT_4o_MINI')",0.5557341411913873,0.75,0.6
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'GPT_5')",0.356028136213493,0.5,0.6
"('GPT_5', 'GPT_4_1_NANO', 'GPT_5')",0.5676483280781606,0.8,0.8
"('GPT_5', 'GPT_4o_MINI', 'GPT_4_1_MINI')",0.5329052936859711,0.5,0.6
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_4o_MINI')",0.5724982540712585,0.6666666666666666,0.7
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4_1_MINI')",0.7054641909814323,1.0,0.8
"('o4_MINI', 'GPT_4o', 'GPT_5_MINI')",0.6703351808449522,1.0,0.7
"('GPT_4_1_MINI', 'GPT_4_1', 'GPT_4o')",0.3553080527178134,0.8571428571428571,0.6
"('o4_MINI', 'GPT_4_1_MINI', 'GPT_4o_MINI')",0.6502552880221916,1.0,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_4_1_MINI')",0.3553080527178134,1.0,0.6
"('GPT_5_MINI', 'GPT_5', 'GPT_4_1_NANO')",0.5313243710619576,0.75,0.7
"('GPT_4_1_NANO', 'GPT_4_1', 'GPT_5_NANO')",0.4983243031155354,0.6666666666666666,0.6
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4o')",0.5880282935455349,1.0,0.7
"('GPT_4_1_MINI', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.3553080527178134,0.7142857142857143,0.6
"('GPT_4o', 'GPT_4o_MINI', 'o4_MINI')",0.7009647314783007,0.6666666666666666,0.6
